# device warming up from 21 °C to 27 °C (measured at case), watching a ceiling of 19.25 °C
#rmin rmax central devtempsns
15772 15991 15844 4318
15768 15987 15843 4319
15784 15989 15852 4319
15784 15993 15850 4319
15781 15989 15849 4319
15782 15987 15848 4319
15778 15989 15848 4319
15776 15984 15844 4318
15777 15991 15850 4319
15775 15984 15848 4319
15778 15985 15846 4319
15777 15985 15848 4318
15777 15985 15846 4319
15772 15983 15844 4318
15778 15983 15847 4319
15775 15984 15847 4318
15770 15985 15847 4318
15773 15988 15843 4318
15772 15992 15845 4318
15773 15983 15844 4318
15773 15990 15844 4318
15773 15987 15845 4318
15769 15985 15844 4318
15765 15984 15842 4318
15767 15981 15840 4318
15766 15981 15841 4318
15769 15982 15842 4319
15768 15980 15844 4318
15765 15983 15842 4318
15768 15984 15840 4318
15766 15985 15841 4317
15767 15985 15838 4319
15765 15983 15840 4318
15766 15987 15841 4318
15766 15985 15835 4318
15767 15987 15838 4318
15763 15984 15837 4317
15764 15984 15836 4318
15765 15985 15835 4317
15776 15980 15845 4318
15772 15982 15847 4318
15773 15987 15846 4318
15770 15983 15846 4317
15775 15983 15844 4318
15773 15984 15843 4317
15771 15982 15839 4318
15773 15986 15842 4317
15771 15984 15842 4317
15772 15985 15839 4317
15772 15982 15839 4316
15766 15983 15840 4316
15763 15986 15840 4317
15764 15986 15841 4317
15770 15981 15841 4317
15764 15984 15838 4316
15765 15985 15840 4317
15763 15983 15838 4316
15770 15984 15835 4317
15767 15984 15836 4316
15760 15986 15836 4317
15765 15992 15835 4317
15766 15990 15833 4316
15760 15993 15833 4316
15761 15986 15836 4315
15759 15986 15837 4317
15767 15988 15835 4316
15760 15988 15834 4316
15763 15991 15834 4316
15760 15989 15835 4317
15761 15990 15837 4317
15757 15987 15834 4317
15757 15991 15831 4316
15758 15991 15831 4317
15754 15986 15831 4316
15757 15988 15831 4316
15756 15993 15830 4316
15774 15979 15840 4316
15770 15979 15840 4316
15773 15977 15841 4316
15772 15980 15838 4316
15767 15980 15835 4316
15770 15977 15836 4316
15773 15976 15834 4317
15768 15981 15835 4316
15768 15979 15836 4316
15768 15975 15836 4317
15764 15979 15834 4316
15761 15977 15834 4317
15763 15978 15834 4314
15763 15975 15834 4316
15763 15980 15834 4316
15766 15977 15833 4316
15763 15975 15832 4316
15760 15979 15832 4317
15761 15980 15831 4315
15759 15982 15831 4316
15763 15977 15833 4316
15762 15979 15830 4316
15757 15977 15831 4316
15762 15977 15832 4316
15761 15983 15831 4315
15760 15981 15829 4315
15756 15984 15829 4316
15756 15980 15828 4316
15758 15976 15829 4316
15755 15976 15830 4316
15755 15978 15829 4316
15754 15977 15829 4315
15753 15976 15830 4316
15754 15977 15829 4315
15752 15975 15833 4315
15754 15977 15833 4315
15753 15974 15833 4315
15762 15979 15837 4314
15763 15976 15835 4315
15764 15975 15838 4315
15763 15978 15836 4315
15764 15975 15836 4316
15761 15975 15837 4316
15763 15973 15837 4315
15757 15974 15836 4316
15757 15977 15836 4314
15760 15977 15836 4315
15759 15973 15836 4315
15762 15977 15832 4314
15758 15977 15833 4315
15759 15976 15832 4316
15759 15976 15834 4315
15758 15976 15833 4315
15754 15980 15831 4314
15755 15979 15834 4314
15755 15976 15829 4315
15756 15983 15829 4315
15751 15979 15828 4314
15753 15978 15827 4316
15750 15978 15825 4313
15748 15978 15826 4314
15748 15976 15829 4314
15747 15978 15828 4314
15747 15977 15828 4314
15749 15973 15827 4314
15743 15979 15827 4314
15747 15977 15826 4314
15749 15976 15825 4315
15745 15976 15824 4313
15751 15976 15825 4314
15746 15977 15825 4314
15745 15976 15826 4314
15744 15974 15826 4314
15743 15975 15826 4314
15761 15973 15832 4314
15761 15971 15833 4314
15761 15969 15830 4314
15758 15969 15830 4314
15758 15970 15832 4313
15755 15973 15833 4313
15757 15974 15834 4314
15757 15970 15834 4313
15758 15973 15834 4313
15757 15973 15833 4313
15757 15971 15829 4312
15756 15973 15829 4313
15757 15976 15830 4314
15753 15975 15826 4313
15749 15970 15827 4313
15753 15974 15826 4313
15751 15974 15828 4314
15748 15972 15829 4314
15749 15970 15825 4314
15749 15971 15828 4313
15751 15971 15827 4313
15751 15972 15827 4313
15747 15971 15824 4313
15745 15969 15825 4313
15746 15970 15826 4313
15743 15972 15826 4313
15742 15970 15826 4313
15748 15972 15825 4313
15745 15967 15822 4313
15739 15967 15825 4313
15745 15969 15823 4313
15743 15968 15823 4313
