# device cooling down from about 30 °C
#rmin rmax central devtempsns
15508 15798 15587 4203
15507 15800 15586 4203
15513 15800 15587 4203
15512 15802 15587 4202
15510 15799 15588 4202
15513 15798 15588 4203
15509 15803 15587 4202
15505 15799 15587 4203
15510 15805 15586 4202
15506 15803 15587 4203
15504 15802 15586 4203
15508 15804 15587 4203
15506 15797 15588 4203
15509 15800 15587 4203
15506 15799 15586 4202
15508 15799 15587 4203
15511 15802 15589 4203
15515 15798 15586 4204
15511 15805 15587 4203
15509 15802 15588 4202
15511 15800 15588 4203
15513 15799 15589 4202
15514 15799 15590 4202
15513 15801 15586 4202
15510 15803 15589 4202
15513 15801 15592 4203
15508 15805 15591 4203
15510 15802 15590 4203
15510 15800 15589 4203
15511 15798 15592 4203
15506 15805 15592 4203
15512 15801 15593 4203
15511 15803 15591 4204
15511 15804 15589 4203
15512 15804 15590 4203
15511 15804 15587 4203
15511 15802 15588 4203
15512 15805 15588 4202
15513 15802 15591 4203
15511 15802 15590 4202
15512 15803 15589 4204
15510 15801 15588 4203
15513 15802 15589 4203
15515 15803 15588 4203
15511 15802 15587 4202
15509 15803 15587 4202
15512 15803 15585 4202
15510 15803 15587 4203
15507 15800 15587 4203
15511 15799 15587 4203
15510 15804 15588 4203
15513 15804 15586 4202
15513 15804 15587 4204
15512 15800 15590 4203
15512 15797 15589 4203
15511 15802 15588 4203
15510 15801 15589 4203
15511 15800 15591 4203
15508 15799 15593 4203
15513 15801 15592 4203
15513 15802 15590 4204
15511 15801 15591 4204
15510 15801 15590 4203
15509 15801 15588 4204
15511 15801 15590 4204
15512 15800 15590 4204
15508 15802 15587 4204
15511 15799 15588 4204
15511 15801 15588 4204
15508 15801 15586 4204
15512 15803 15586 4203
15510 15803 15591 4204
15505 15804 15587 4203
15504 15802 15588 4203
15506 15805 15586 4203
15509 15804 15585 4204
15509 15801 15589 4204
15508 15802 15588 4204
15508 15806 15588 4203
15507 15802 15588 4204
15509 15802 15589 4204
15509 15801 15586 4205
15509 15803 15586 4204
15508 15802 15582 4203
15510 15804 15587 4204
15508 15799 15588 4204
15509 15797 15587 4204
15510 15799 15588 4204
15506 15802 15588 4204
15508 15802 15588 4204
15510 15803 15587 4204
15509 15803 15588 4204
15509 15805 15589 4204
15506 15801 15588 4204
15509 15801 15586 4204
15509 15800 15586 4203
15508 15801 15593 4204
15510 15800 15589 4205
15512 15802 15588 4204
15511 15799 15587 4204
15508 15798 15588 4204
15515 15803 15585 4204
15513 15805 15587 4203
15512 15800 15587 4205
15503 15801 15585 4204
15507 15802 15587 4204
15508 15799 15586 4204
15508 15802 15585 4204
15514 15798 15589 4203
15510 15798 15591 4204
15511 15800 15590 4204
15513 15799 15589 4204
15511 15799 15587 4204
